OvertimePay,OtherPay,TotalPayBenefits,Status_Binary
11361.77,32774.95,233551.31,0
0.0,250.0,233294.02,0
0.0,250.0,233289.24,0
0.0,0.0,233055.76,0
0.0,0.0,233017.77,0
0.0,19916.82,232232.9,1
8076.72,30190.57,231765.59,0
2421.42,4798.91,231693.59,0
0.0,16310.06,231602.04,0
7376.87,30270.95,231413.79,0
7121.89,35542.17,230957.99,0
10398.86,27315.01,230716.86,0
4457.85,15152.29,230652.07,1
12752.59,37103.04,230421.87,0
7919.45,27232.89,229688.38,0
2343.11,5307.88,229608.44,0
0.0,250.0,229290.83,0
0.0,21753.48,228765.37,0
0.0,14836.41,228756.42,0
0.0,1450.0,228204.92,0
9282.37,31105.99,228145.12,0
0.0,19052.04,228071.86,0
8988.0,27772.79,227980.08,0
3878.82,1874.14,227889.61,1
0.0,28093.8,227883.62,0
0.0,770.0,227386.24,0
992.7,1431.16,226876.97,0
10715.72,24894.06,226446.12,0
0.0,16472.33,226349.53,1
0.0,1433.12,226068.85,0
16085.49,32552.01,225194.89,0
8787.17,318.28,224990.24,1
8899.72,29554.82,224854.66,0
0.0,26771.49,224577.13,0
8400.26,23137.12,224331.41,0
8342.11,7833.52,224155.68,1
0.0,735.0,223851.25,0
6020.44,24612.18,223481.65,0
8249.73,21731.85,223454.57,0
9088.24,28662.59,223322.21,0
9580.07,32918.63,223161.24,0
10815.14,26752.99,223005.21,0
0.0,1400.0,222964.14,0
0.0,1550.0,222891.29,0
4036.12,32585.61,222641.54,0
0.0,1525.0,222510.63,0
94.67,250.0,222053.71,0
0.0,250.0,221861.09,0
10456.31,20290.12,221648.54,0
8409.63,52676.27,221508.93,1
0.0,50378.72,221377.34,1
0.0,250.0,221289.62,1
0.0,250.0,221198.89,0
281.45,2945.23,221093.71,0
0.0,1714.74,220565.8,0
0.0,250.0,220542.36,0
8118.65,30952.65,220067.3,0
2791.98,28746.26,219909.12,0
6825.61,28690.03,219873.47,0
4202.4,31292.47,219562.81,0
1022.39,1641.94,219536.69,0
0.0,21189.82,219327.6,0
12028.98,17151.33,219096.71,0
10718.1,27532.65,218952.19,0
0.0,2482.66,218695.2,0
